"Post code","Prefecture name","City name","Ward name","Town name"
6540028,Hyogo,Kobe,Sumaku,Tokiwacho
6540012,Hyogo,Kobe,Sumaku,Tobimatsucho
6540034,Hyogo,Kobe,Sumaku,Tomasacho
6540142,Hyogo,Kobe,Sumaku,Tomogaoka
6540154,Hyogo,Kobe,Sumaku,Nakaochiai
6540035,Hyogo,Kobe,Sumaku,Nakajimacho
6540155,Hyogo,Kobe,Sumaku,Nishiochiai
6540068,Hyogo,Kobe,Sumaku,Nishisuma
6540152,Hyogo,Kobe,Sumaku,Higashiochiai
6540102,Hyogo,Kobe,Sumaku,Higashishirakawadai
6540018,Hyogo,Kobe,Sumaku,Higashisuma
6540033,Hyogo,Kobe,Sumaku,Higashimachi
6540021,Hyogo,Kobe,Sumaku,Hiratacho
6540041,Hyogo,Kobe,Sumaku,Furukawacho
6540007,Hyogo,Kobe,Sumaku,Hodencho
6540032,Hyogo,Kobe,Sumaku,Horiikecho
6540011,Hyogo,Kobe,Sumaku,Maeikecho
6540045,Hyogo,Kobe,Sumaku,Matsukazecho
6540062,Hyogo,Kobe,Sumaku,Mizunocho
6540113,Hyogo,Kobe,Sumaku,Midorigaoka
6540163,Hyogo,Kobe,Sumaku,Midoridai
6540153,Hyogo,Kobe,Sumaku,Minamiochiai
6540036,Hyogo,Kobe,Sumaku,Minamimachi
6540052,Hyogo,Kobe,Sumaku,Miyukicho
6540002,Hyogo,Kobe,Sumaku,Myojincho
6540121,Hyogo,Kobe,Sumaku,Myohoji
6540046,Hyogo,Kobe,Sumaku,Murasamecho
6540161,Hyogo,Kobe,Sumaku,Yasakadai
6540037,Hyogo,Kobe,Sumaku,Yukihiracho
6540006,Hyogo,Kobe,Sumaku,Yorocho
6540131,Hyogo,Kobe,Sumaku,Yoko
6540067,Hyogo,Kobe,Sumaku,Rikyunishicho
6540065,Hyogo,Kobe,Sumaku,Rikyumaemachi
6540141,Hyogo,Kobe,Sumaku,Ryugadai
6540014,Hyogo,Kobe,Sumaku,Wakagicho
6540112,Hyogo,Kobe,Sumaku,Wakakusacho
6540049,Hyogo,Kobe,Sumaku,Wakamiyacho
6550000,Hyogo,Kobe,Tarumiku,Ikanikeisaiganaibaai
6550873,Hyogo,Kobe,Tarumiku,Aoyamadai
6550862,Hyogo,Kobe,Tarumiku,Asatanicho
6550033,Hyogo,Kobe,Tarumiku,Asahigaoka
6550885,Hyogo,Kobe,Tarumiku,Izumigaoka
6550037,Hyogo,Kobe,Tarumiku,Utashikiyama
6550883,Hyogo,Kobe,Tarumiku,Oiden
6550014,Hyogo,Kobe,Tarumiku,Omachi
6550882,Hyogo,Kobe,Tarumiku,Otogi
6550036,Hyogo,Kobe,Tarumiku,Kaigandori
6550039,Hyogo,Kobe,Tarumiku,Kasumigaoka
6550017,Hyogo,Kobe,Tarumiku,Kamitakamaru
6550049,Hyogo,Kobe,Tarumiku,Kariguchidai
6550894,Hyogo,Kobe,Tarumiku,Kawahara
6550027,Hyogo,Kobe,Tarumiku,Kandacho
6550045,Hyogo,Kobe,Tarumiku,Kitamaiko
6550026,Hyogo,Kobe,Tarumiku,Kuganocho
6550012,Hyogo,Kobe,Tarumiku,Koyo
6550008,Hyogo,Kobe,Tarumiku,Kozukadai
6550061,Hyogo,Kobe,Tarumiku,Kozukadaihigashi
6550002,Hyogo,Kobe,Tarumiku,Kozukayama
6550009,Hyogo,Kobe,Tarumiku,Kozukayamate
6550003,Hyogo,Kobe,Tarumiku,Kozukayamahommachi
6550035,Hyogo,Kobe,Tarumiku,Goshikiyama
6550024,Hyogo,Kobe,Tarumiku,Goryocho
6550895,Hyogo,Kobe,Tarumiku,Sakagami
6550005,Hyogo,Kobe,Tarumiku,Shiomigaoka
6550863,Hyogo,Kobe,Tarumiku,Shioyakitamachi
6550864,Hyogo,Kobe,Tarumiku,Shioyadai
6550872,Hyogo,Kobe,Tarumiku,Shioyacho
6550031,Hyogo,Kobe,Tarumiku,Shimizugaoka
6550023,Hyogo,Kobe,Tarumiku,Shimizudori
6550861,Hyogo,Kobe,Tarumiku,Shimohatacho
6550871,Hyogo,Kobe,Tarumiku,Shofudai
6550884,Hyogo,Kobe,Tarumiku,Shirogayama
